Timestamp,InitDuration_ms,ColdStart,
9/21/2025 14:21,339.05,TRUE,
9/21/2025 14:36,360.9,TRUE,
9/21/2025 14:36,356.14,TRUE,
9/21/2025 14:51,356.14,TRUE,
9/21/2025 15:06,345.33,TRUE,
9/21/2025 15:21,372.1,TRUE,
22:32.9,372.1,8.64,91
2025-09-21 15:37:43.063720,None,47.29,95
2025-09-21 15:52:53.330977,338.37,8.09,91
2025-09-21 16:08:04.238521,360.06,8.12,91
2025-09-21 16:23:14.448716,370.73,9.2,90
2025-09-21 16:38:25.783774,344.01,8.26,91
2025-09-21 16:53:36.733375,354.44,9.24,91
2025-09-21 17:08:47.241472,380.59,8.9,91
2025-09-21 17:23:56.585201,350.09,8.02,91
2025-09-21 17:39:06.631935,350.09,8.02,91
