memory_mb,sample_idx,timestamp,init_ms,duration_ms,max_memory_mb
128,1,2025-10-02T14:13:25.193130,402.09,862.46,93
128,2,2025-10-02T14:13:43.445651,402.09,862.46,93
128,3,2025-10-02T14:14:01.806399,0,1.73,93
256,1,2025-10-02T14:29:23.285282,370.76,693.46,94
256,2,2025-10-02T14:29:41.626611,370.76,693.46,94
256,3,2025-10-02T14:29:59.745950,0,132.86,95
512,1,2025-10-02T14:45:23.686736,380.51,584.95,94
512,2,2025-10-02T14:45:42.179848,380.51,584.95,94
512,3,2025-10-02T14:46:03.244578,0,78.6,95
1024,1,2025-10-02T15:01:24.201777,0,21.11,94
1024,2,2025-10-02T15:01:43.186529,0,55.49,94
1024,3,2025-10-02T15:02:01.859224,0,25.55,94
